,geo_level,region,state,year,week,age,flu_deaths,pneu_deaths,pneu_flu_deaths,all_deaths
110,State,,Washington,2018,14,All,,,103.0,1163.0
111,State,,Vermont,2018,47,All,,,5.0,90.0
112,State,,Washington,2018,16,All,,,69.0,1071.0
113,State,,Hawaii,2018,30,All,,,19.0,205.0
114,State,,Pennsylvania,2018,4,All,,,250.0,2977.0
115,State,,Alabama,2018,27,All,,,43.0,987.0
116,Region,8,,2018,26,All,0.0,92.0,92.0,1500.0
117,State,,Kentucky,2018,15,All,,,80.0,943.0
118,State,,Connecticut,2018,15,All,,,52.0,647.0
119,State,,Nebraska,2018,29,All,,,14.0,275.0
120,National,,,2016,15,65 years and older,112.0,3108.0,3220.0,39151.0
121,State,,Maine,2018,49,All,,,20.0,305.0
122,Region,1,,2018,2,All,42.0,285.0,327.0,3196.0
123,State,,Wyoming,2018,38,All,,,10.0,92.0
124,State,,North Carolina,2018,1,All,,,195.0,2115.0
125,National,,,2016,15,0-17 years,4.0,17.0,21.0,692.0
126,State,,North Carolina,2018,11,All,,,133.0,1816.0
127,State,,Delaware,2018,34,All,,,14.0,190.0
128,State,,Mississippi,2018,17,All,,,36.0,630.0
129,State,,Washington,2018,21,All,,,51.0,968.0
130,State,,Minnesota,2018,47,All,,,56.0,856.0
131,State,,Vermont,2018,39,All,,,4.0,104.0
132,State,,South Carolina,2018,40,All,,,62.0,936.0
133,State,,Minnesota,2018,28,All,,,52.0,832.0
134,State,,New York City,2018,26,All,,,71.0,976.0
135,State,,Kentucky,2018,33,All,,,46.0,873.0
136,State,,Pennsylvania,2018,19,All,,,132.0,2370.0
137,State,,North Carolina,2018,6,All,,,246.0,2064.0
138,State,,Nebraska,2018,38,All,,,21.0,308.0
139,State,,Texas,2018,23,All,,,224.0,3681.0
140,State,,Mississippi,2018,25,All,,,36.0,572.0
141,State,,Pennsylvania,2018,10,All,,,202.0,2650.0
142,State,,Oklahoma,2018,29,All,,,62.0,703.0
143,Region,8,,2018,24,All,0.0,95.0,95.0,1569.0
144,State,,Massachusetts,2018,26,All,,,62.0,1027.0
145,State,,Illinois,2018,28,All,,,103.0,2007.0
146,State,,Minnesota,2018,2,All,,,119.0,1039.0
147,State,,South Carolina,2018,41,All,,,56.0,905.0
148,State,,Georgia,2018,1,All,,,118.0,1908.0
149,State,,Colorado,2018,8,All,,,61.0,762.0
150,State,,Alaska,2018,14,All,,,13.0,96.0
151,State,,Iowa,2018,44,All,,,31.0,565.0
152,State,,Rhode Island,2018,33,All,,,14.0,187.0
153,State,,Kansas,2018,5,All,,,74.0,582.0
154,Region,8,,2018,2,All,49.0,146.0,195.0,1838.0
155,State,,Pennsylvania,2018,23,All,,,116.0,2498.0
156,State,,Colorado,2018,34,All,,,22.0,713.0
157,State,,Kansas,2018,43,All,,,27.0,517.0
158,State,,Kentucky,2018,12,All,,,92.0,945.0
159,State,,Wyoming,2018,27,All,,,6.0,104.0
160,State,,Colorado,2018,22,All,,,23.0,700.0
161,State,,South Dakota,2018,37,All,,,11.0,183.0
162,State,,Oregon,2018,45,All,,,35.0,711.0
163,State,,Texas,2018,15,All,,,263.0,3816.0
164,State,,District of Columbia,2018,32,All,,,2.0,91.0
165,State,,New Jersey,2018,13,All,,,76.0,1551.0
166,Region,1,,2016,15,All,14.0,199.0,213.0,2573.0
167,State,,New Hampshire,2018,27,All,,,8.0,220.0
168,State,,Connecticut,2018,14,All,,,40.0,658.0
169,National,,,2017,47,0-17 years,2.0,21.0,23.0,688.0
